FieldName,Type,MaxLength,Nullable,Description,Notes,Example,PrimaryKey,TableName,TableDescription
player_z_vel,DECIMAL,,True,,Merged from another channel. Null where no source row matches.,,,bomb_defuse,multi_event
player_phi_ang,DECIMAL,,True,,Merged from another channel. Null where no source row matches.,,,bomb_defuse,multi_event
player_theta_ang,DECIMAL,,True,,Merged from another channel. Null where no source row matches.,,,bomb_defuse,multi_event
player_weapon_code,INTEGER,,True,,Merged from another channel. Null where no source row matches.,,,bomb_defuse,multi_event
player_team_code,INTEGER,,True,,Merged from another channel. Null where no source row matches.,,,bomb_defuse,multi_event
round,INTEGER,,False,,,,,bomb_state,multi_event
tick,INTEGER,,False,,,,,bomb_state,multi_event
event_type,VARCHAR,,False,,,,,bomb_state,multi_event
player_id,INTEGER,,False,,,,,bomb_state,multi_event
site_code,INTEGER,,True,,,,,bomb_state,multi_event
second,DECIMAL,,,,,,,bomb_state,multi_event
player_id_fixed,INTEGER,,True,Calculated from steam_id and player_id in player_personal. Merging done on round and player_id,Merged from another channel. Null where no source row matches.,,,bomb_state,multi_event
player_x_pos,DECIMAL,,True,,Merged from another channel. Null where no source row matches.,,,bomb_state,multi_event
player_y_pos,DECIMAL,,True,,Merged from another channel. Null where no source row matches.,,,bomb_state,multi_event
player_z_pos,DECIMAL,,True,,Merged from another channel. Null where no source row matches.,,,bomb_state,multi_event
player_x_vel,DECIMAL,,True,,Merged from another channel. Null where no source row matches.,,,bomb_state,multi_event
player_y_vel,DECIMAL,,True,,Merged from another channel. Null where no source row matches.,,,bomb_state,multi_event
player_z_vel,DECIMAL,,True,,Merged from another channel. Null where no source row matches.,,,bomb_state,multi_event
player_phi_ang,DECIMAL,,True,,Merged from another channel. Null where no source row matches.,,,bomb_state,multi_event
player_theta_ang,DECIMAL,,True,,Merged from another channel. Null where no source row matches.,,,bomb_state,multi_event
player_weapon_code,INTEGER,,True,,Merged from another channel. Null where no source row matches.,,,bomb_state,multi_event
player_team_code,INTEGER,,True,,Merged from another channel. Null where no source row matches.,,,bomb_state,multi_event
round,INTEGER,,False,,,,,bot_takeover,single_event
tick,INTEGER,,False,,,,,bot_takeover,single_event
player_id,INTEGER,,False,,,,,bot_takeover,single_event
player_index,INTEGER,,False,,,,,bot_takeover,single_event
bot_id,INTEGER,,True,,,,,bot_takeover,single_event
is_controlling,BOOLEAN,,False,,,,,bot_takeover,single_event
second,DECIMAL,,,,,,,bot_takeover,single_event
player_id_fixed,INTEGER,,True,Calculated from steam_id and player_id in player_personal. Merging done on round and player_id,Merged from another channel. Null where no source row matches.,,,bot_takeover,single_event
player_x_pos,DECIMAL,,True,,Merged from another channel. Null where no source row matches.,,,bot_takeover,single_event
player_y_pos,DECIMAL,,True,,Merged from another channel. Null where no source row matches.,,,bot_takeover,single_event
player_z_pos,DECIMAL,,True,,Merged from another channel. Null where no source row matches.,,,bot_takeover,single_event
player_x_vel,DECIMAL,,True,,Merged from another channel. Null where no source row matches.,,,bot_takeover,single_event
player_y_vel,DECIMAL,,True,,Merged from another channel. Null where no source row matches.,,,bot_takeover,single_event
player_z_vel,DECIMAL,,True,,Merged from another channel. Null where no source row matches.,,,bot_takeover,single_event
player_phi_ang,DECIMAL,,True,,Merged from another channel. Null where no source row matches.,,,bot_takeover,single_event
player_theta_ang,DECIMAL,,True,,Merged from another channel. Null where no source row matches.,,,bot_takeover,single_event
player_weapon_code,INTEGER,,True,,Merged from another channel. Null where no source row matches.,,,bot_takeover,single_event
player_team_code,INTEGER,,True,,Merged from another channel. Null where no source row matches.,,,bot_takeover,single_event
round,INTEGER,,False,,,,,bullet_damage,single_event
tick,INTEGER,,False,,,,,bullet_damage,single_event
player_id,INTEGER,,False,,,,,bullet_damage,single_event
attacker_id,INTEGER,,False,,,,,bullet_damage,single_event
distance,DECIMAL,,False,,,,,bullet_damage,single_event
damage_dir_x,DECIMAL,,False,,,,,bullet_damage,single_event
damage_dir_y,DECIMAL,,False,,,,,bullet_damage,single_event
damage_dir_z,DECIMAL,,False,,,,,bullet_damage,single_event
num_penetrations,INTEGER,,False,,,,,bullet_damage,single_event
is_no_scope,BOOLEAN,,False,,,,,bullet_damage,single_event
is_attacker_in_air,BOOLEAN,,False,,,,,bullet_damage,single_event
second,DECIMAL,,,,,,,bullet_damage,single_event
player_id_fixed,DECIMAL,,True,,Merged from another channel. Null where no source row matches.,,,bullet_damage,single_event
attacker_id_fixed,INTEGER,,True,,Merged from another channel. Null where no source row matches.,,,bullet_damage,single_event
player_x_pos,DECIMAL,,True,,Merged from another channel. Null where no source row matches.,,,bullet_damage,single_event
player_y_pos,DECIMAL,,True,,Merged from another channel. Null where no source row matches.,,,bullet_damage,single_event
player_z_pos,DECIMAL,,True,,Merged from another channel. Null where no source row matches.,,,bullet_damage,single_event
player_x_vel,DECIMAL,,True,,Merged from another channel. Null where no source row matches.,,,bullet_damage,single_event
player_y_vel,DECIMAL,,True,,Merged from another channel. Null where no source row matches.,,,bullet_damage,single_event
player_z_vel,DECIMAL,,True,,Merged from another channel. Null where no source row matches.,,,bullet_damage,single_event
player_phi_ang,DECIMAL,,True,,Merged from another channel. Null where no source row matches.,,,bullet_damage,single_event
player_theta_ang,DECIMAL,,True,,Merged from another channel. Null where no source row matches.,,,bullet_damage,single_event
player_weapon_code,INTEGER,,True,,Merged from another channel. Null where no source row matches.,,,bullet_damage,single_event
player_team_code,INTEGER,,True,,Merged from another channel. Null where no source row matches.,,,bullet_damage,single_event
attacker_x_pos,DECIMAL,,True,,Merged from another channel. Null where no source row matches.,,,bullet_damage,single_event
attacker_y_pos,DECIMAL,,True,,Merged from another channel. Null where no source row matches.,,,bullet_damage,single_event
attacker_z_pos,DECIMAL,,True,,Merged from another channel. Null where no source row matches.,,,bullet_damage,single_event
attacker_x_vel,DECIMAL,,True,,Merged from another channel. Null where no source row matches.,,,bullet_damage,single_event
attacker_y_vel,DECIMAL,,True,,Merged from another channel. Null where no source row matches.,,,bullet_damage,single_event
attacker_z_vel,DECIMAL,,True,,Merged from another channel. Null where no source row matches.,,,bullet_damage,single_event
attacker_phi_ang,DECIMAL,,True,,Merged from another channel. Null where no source row matches.,,,bullet_damage,single_event
attacker_theta_ang,DECIMAL,,True,,Merged from another channel. Null where no source row matches.,,,bullet_damage,single_event
attacker_weapon_code,INTEGER,,True,,Merged from another channel. Null where no source row matches.,,,bullet_damage,single_event
attacker_team_code,INTEGER,,True,,Merged from another channel. Null where no source row matches.,,,bullet_damage,single_event
round,INTEGER,,False,,,,,grenade_bounce,single_event
tick,INTEGER,,False,,,,,grenade_bounce,single_event
entity_id,INTEGER,,False,,,,,grenade_bounce,single_event
player_id,INTEGER,,False,,,,,grenade_bounce,single_event
bounce_nr,INTEGER,,False,,,,,grenade_bounce,single_event
x_pos,DECIMAL,,False,,,,,grenade_bounce,single_event
y_pos,DECIMAL,,False,,,,,grenade_bounce,single_event
z_pos,DECIMAL,,False,,,,,grenade_bounce,single_event
second,DECIMAL,,,,,,,grenade_bounce,single_event
player_id_fixed,DECIMAL,,True,,Merged from another channel. Null where no source row matches.,,,grenade_bounce,single_event
round,INTEGER,,False,,,,,grenade_state,multi_event
tick,INTEGER,,False,,,,,grenade_state,multi_event
event_type,VARCHAR,,False,,,,,grenade_state,multi_event
entity_id,INTEGER,,False,,,,,grenade_state,multi_event
player_id,INTEGER,,False,,,,,grenade_state,multi_event
x_pos,DECIMAL,,False,,,,,grenade_state,multi_event
y_pos,DECIMAL,,False,,,,,grenade_state,multi_event
z_pos,DECIMAL,,False,,,,,grenade_state,multi_event
second,DECIMAL,,,,,,,grenade_state,multi_event
player_id_fixed,DECIMAL,,True,Calculated from steam_id and player_id in player_personal. Merging done on round and player_id,Merged from another channel. Null where no source row matches.,,,grenade_state,multi_event
entity_id_fixed,INTEGER,,,,,,,grenade_state,multi_event
tick_throw,INTEGER,,,,,,,grenade_state,multi_event
player_x_pos,DECIMAL,,True,,Merged from another channel. Null where no source row matches.,,,grenade_state,multi_event
player_y_pos,DECIMAL,,True,,Merged from another channel. Null where no source row matches.,,,grenade_state,multi_event
player_z_pos,DECIMAL,,True,,Merged from another channel. Null where no source row matches.,,,grenade_state,multi_event
player_x_vel,DECIMAL,,True,,Merged from another channel. Null where no source row matches.,,,grenade_state,multi_event
player_y_vel,DECIMAL,,True,,Merged from another channel. Null where no source row matches.,,,grenade_state,multi_event
player_z_vel,DECIMAL,,True,,Merged from another channel. Null where no source row matches.,,,grenade_state,multi_event
player_phi_ang,DECIMAL,,True,,Merged from another channel. Null where no source row matches.,,,grenade_state,multi_event
player_theta_ang,DECIMAL,,True,,Merged from another channel. Null where no source row matches.,,,grenade_state,multi_event
player_weapon_code,INTEGER,,True,,Merged from another channel. Null where no source row matches.,,,grenade_state,multi_event
player_team_code,INTEGER,,True,,Merged from another channel. Null where no source row matches.,,,grenade_state,multi_event
round,INTEGER,,False,,,,,grenade_vector,telemetry
tick,INTEGER,,False,,,,,grenade_vector,telemetry
entity_id,INTEGER,,False,,,,,grenade_vector,telemetry
player_id,INTEGER,,False,,,,,grenade_vector,telemetry
grenade_type_code,INTEGER,,False,,,,,grenade_vector,telemetry
grenade_type,VARCHAR,,False,,,,,grenade_vector,telemetry
x_pos,DECIMAL,,False,,,,,grenade_vector,telemetry
y_pos,DECIMAL,,False,,,,,grenade_vector,telemetry
z_pos,DECIMAL,,False,,,,,grenade_vector,telemetry
second,DECIMAL,,,,,,,grenade_vector,telemetry
player_id_fixed,DECIMAL,,True,,Merged from another channel. Null where no source row matches.,,,grenade_vector,telemetry
magic,VARCHAR,,False,,,,,header,header
network_protocol,INTEGER,,False,,,,,header,header
server_name,VARCHAR,,False,,,,,header,header
client_name,VARCHAR,,False,,,,,header,header
map_name,VARCHAR,,False,,,,,header,header
game_directory,VARCHAR,,False,,,,,header,header
fullpackets_version,INTEGER,,False,,,,,header,header
allow_clientside_entities,BOOLEAN,,False,,,,,header,header
allow_clientside_particles,BOOLEAN,,False,,,,,header,header
addons,VARCHAR,,False,,,,,header,header
demo_version_name,VARCHAR,,False,,,,,header,header
demo_version_guid,VARCHAR,,False,,,,,header,header
build_num,INTEGER,,False,,,,,header,header
game,VARCHAR,,False,,,,,header,header
is_gotv_recording,BOOLEAN,,False,,,,,header,header
is_wingman,BOOLEAN,,False,,,,,header,header
max_unique_players,INTEGER,,False,,,,,header,header
tick_rate,INTEGER,,,,,,,header,header
tick_save_rate,INTEGER,,,,,,,header,header
rushb_version,VARCHAR,,,,,,,header,header
ppp_version,VARCHAR,,,,,,,header,header
match_date,VARCHAR,,,,,,,header,header
demo_id,VARCHAR,,,,"Every value is replaced with the literal string ""redacted"".",,,header,header
sharecode,VARCHAR,,,,"Every value is replaced with the literal string ""redacted"".",,,header,header
platform,VARCHAR,,,,,,,header,header
match_type,VARCHAR,,,,,,,header,header
t_starters_avg_rank,DECIMAL,,,,,,,header,header
t_starters_avg_wins,DECIMAL,,,,,,,header,header
ct_starters_avg_rank,DECIMAL,,,,,,,header,header
ct_starters_avg_wins,DECIMAL,,,,,,,header,header
ct_starters_score_final,INTEGER,,,,,,,header,header
t_starters_score_final,INTEGER,,,,,,,header,header
unique_steamids,INTEGER,,,,,,,header,header
providence,VARCHAR,,,,,,,header,header
number_of_points,INTEGER,,,,,,,header,header
round,INTEGER,,False,,,,,item_dropped,single_event
tick,INTEGER,,False,,,,,item_dropped,single_event
player_id,INTEGER,,False,,,,,item_dropped,single_event
entity_id,INTEGER,,False,,,,,item_dropped,single_event
item,VARCHAR,,False,,,,,item_dropped,single_event
def_index,INTEGER,,False,,,,,item_dropped,single_event
x_pos,DECIMAL,,False,,,,,item_dropped,single_event
y_pos,DECIMAL,,False,,,,,item_dropped,single_event
z_pos,DECIMAL,,False,,,,,item_dropped,single_event
reason,VARCHAR,,False,,,,,item_dropped,single_event
second,DECIMAL,,,,,,,item_dropped,single_event
player_id_fixed,DECIMAL,,True,,Merged from another channel. Null where no source row matches.,,,item_dropped,single_event
player_x_pos,DECIMAL,,True,,Merged from another channel. Null where no source row matches.,,,item_dropped,single_event
player_y_pos,DECIMAL,,True,,Merged from another channel. Null where no source row matches.,,,item_dropped,single_event
player_z_pos,DECIMAL,,True,,Merged from another channel. Null where no source row matches.,,,item_dropped,single_event
player_x_vel,DECIMAL,,True,,Merged from another channel. Null where no source row matches.,,,item_dropped,single_event
player_y_vel,DECIMAL,,True,,Merged from another channel. Null where no source row matches.,,,item_dropped,single_event
player_z_vel,DECIMAL,,True,,Merged from another channel. Null where no source row matches.,,,item_dropped,single_event
player_phi_ang,DECIMAL,,True,,Merged from another channel. Null where no source row matches.,,,item_dropped,single_event
player_theta_ang,DECIMAL,,True,,Merged from another channel. Null where no source row matches.,,,item_dropped,single_event
player_weapon_code,INTEGER,,True,,Merged from another channel. Null where no source row matches.,,,item_dropped,single_event
player_team_code,INTEGER,,True,,Merged from another channel. Null where no source row matches.,,,item_dropped,single_event
round,INTEGER,,False,,,,,item_equip,single_event
tick,INTEGER,,False,,,,,item_equip,single_event
player_id,INTEGER,,False,,,,,item_equip,single_event
item,VARCHAR,,False,,,,,item_equip,single_event
def_index,INTEGER,,False,,,,,item_equip,single_event
can_zoom,BOOLEAN,,False,,,,,item_equip,single_event
has_silencer,BOOLEAN,,False,,,,,item_equip,single_event
is_silenced,BOOLEAN,,False,,,,,item_equip,single_event
has_tracers,BOOLEAN,,False,,,,,item_equip,single_event
weapon_type_code,INTEGER,,False,,,,,item_equip,single_event
is_painted,BOOLEAN,,False,,,,,item_equip,single_event
second,DECIMAL,,,,,,,item_equip,single_event
player_id_fixed,DECIMAL,,True,Calculated from steam_id and player_id in player_personal. Merging done on round and player_id,Merged from another channel. Null where no source row matches.,,,item_equip,single_event
player_x_pos,DECIMAL,,True,,Merged from another channel. Null where no source row matches.,,,item_equip,single_event
player_y_pos,DECIMAL,,True,,Merged from another channel. Null where no source row matches.,,,item_equip,single_event
player_z_pos,DECIMAL,,True,,Merged from another channel. Null where no source row matches.,,,item_equip,single_event
player_x_vel,DECIMAL,,True,,Merged from another channel. Null where no source row matches.,,,item_equip,single_event
player_y_vel,DECIMAL,,True,,Merged from another channel. Null where no source row matches.,,,item_equip,single_event
player_z_vel,DECIMAL,,True,,Merged from another channel. Null where no source row matches.,,,item_equip,single_event
player_phi_ang,DECIMAL,,True,,Merged from another channel. Null where no source row matches.,,,item_equip,single_event
player_theta_ang,DECIMAL,,True,,Merged from another channel. Null where no source row matches.,,,item_equip,single_event
player_weapon_code,INTEGER,,True,,Merged from another channel. Null where no source row matches.,,,item_equip,single_event
player_team_code,INTEGER,,True,,Merged from another channel. Null where no source row matches.,,,item_equip,single_event
round,INTEGER,,False,,,,,item_pickup,single_event
tick,INTEGER,,False,,,,,item_pickup,single_event
player_id,INTEGER,,False,,,,,item_pickup,single_event
item,VARCHAR,,False,,,,,item_pickup,single_event
def_index,INTEGER,,False,,,,,item_pickup,single_event
is_silent,BOOLEAN,,False,,,,,item_pickup,single_event
second,DECIMAL,,,,,,,item_pickup,single_event
player_id_fixed,DECIMAL,,True,Calculated from steam_id and player_id in player_personal. Merging done on round and player_id,Merged from another channel. Null where no source row matches.,,,item_pickup,single_event
player_x_pos,DECIMAL,,True,,Merged from another channel. Null where no source row matches.,,,item_pickup,single_event
player_y_pos,DECIMAL,,True,,Merged from another channel. Null where no source row matches.,,,item_pickup,single_event
player_z_pos,DECIMAL,,True,,Merged from another channel. Null where no source row matches.,,,item_pickup,single_event
player_x_vel,DECIMAL,,True,,Merged from another channel. Null where no source row matches.,,,item_pickup,single_event
player_y_vel,DECIMAL,,True,,Merged from another channel. Null where no source row matches.,,,item_pickup,single_event
player_z_vel,DECIMAL,,True,,Merged from another channel. Null where no source row matches.,,,item_pickup,single_event
player_phi_ang,DECIMAL,,True,,Merged from another channel. Null where no source row matches.,,,item_pickup,single_event
player_theta_ang,DECIMAL,,True,,Merged from another channel. Null where no source row matches.,,,item_pickup,single_event
player_weapon_code,INTEGER,,True,,Merged from another channel. Null where no source row matches.,,,item_pickup,single_event
player_team_code,INTEGER,,True,,Merged from another channel. Null where no source row matches.,,,item_pickup,single_event
round,INTEGER,,False,,,,,item_refund,single_event
tick,INTEGER,,False,,,,,item_refund,single_event
player_id,INTEGER,,False,,,,,item_refund,single_event
item,VARCHAR,,False,,,,,item_refund,single_event
def_index,INTEGER,,False,,,,,item_refund,single_event
second,DECIMAL,,,,,,,item_refund,single_event
player_id_fixed,DECIMAL,,True,,Merged from another channel. Null where no source row matches.,,,item_refund,single_event
player_x_pos,DECIMAL,,True,,Merged from another channel. Null where no source row matches.,,,item_refund,single_event
player_y_pos,DECIMAL,,True,,Merged from another channel. Null where no source row matches.,,,item_refund,single_event
player_z_pos,DECIMAL,,True,,Merged from another channel. Null where no source row matches.,,,item_refund,single_event
player_x_vel,DECIMAL,,True,,Merged from another channel. Null where no source row matches.,,,item_refund,single_event
player_y_vel,DECIMAL,,True,,Merged from another channel. Null where no source row matches.,,,item_refund,single_event
player_z_vel,DECIMAL,,True,,Merged from another channel. Null where no source row matches.,,,item_refund,single_event
player_phi_ang,DECIMAL,,True,,Merged from another channel. Null where no source row matches.,,,item_refund,single_event
player_theta_ang,DECIMAL,,True,,Merged from another channel. Null where no source row matches.,,,item_refund,single_event
player_weapon_code,INTEGER,,True,,Merged from another channel. Null where no source row matches.,,,item_refund,single_event
player_team_code,INTEGER,,True,,Merged from another channel. Null where no source row matches.,,,item_refund,single_event
round,INTEGER,,False,,,,,molotov_fire,telemetry
tick,INTEGER,,False,,,,,molotov_fire,telemetry
entity_id,INTEGER,,False,,,,,molotov_fire,telemetry
player_id,INTEGER,,False,,,,,molotov_fire,telemetry
fire_index,INTEGER,,False,,,,,molotov_fire,telemetry
x_pos,DECIMAL,,False,,,,,molotov_fire,telemetry
y_pos,DECIMAL,,False,,,,,molotov_fire,telemetry
z_pos,DECIMAL,,False,,,,,molotov_fire,telemetry
is_burning,BOOLEAN,,False,,,,,molotov_fire,telemetry
second,DECIMAL,,,,,,,molotov_fire,telemetry
player_id_fixed,DECIMAL,,True,,Merged from another channel. Null where no source row matches.,,,molotov_fire,telemetry
entity_id_fixed,INTEGER,,,,,,,molotov_fire,telemetry
round,INTEGER,,False,,,,,molotov_state,multi_event
tick,INTEGER,,False,,,,,molotov_state,multi_event
event_type,VARCHAR,,False,,,,,molotov_state,multi_event
entity_id,INTEGER,,False,,,,,molotov_state,multi_event
x_pos,DECIMAL,,False,,,,,molotov_state,multi_event
y_pos,DECIMAL,,False,,,,,molotov_state,multi_event
z_pos,DECIMAL,,False,,,,,molotov_state,multi_event
second,DECIMAL,,,,,,,molotov_state,multi_event
entity_id_fixed,INTEGER,,,,,,,molotov_state,multi_event
player_id,INTEGER,,,,,,,molotov_state,multi_event
player_id_fixed,INTEGER,,,,,,,molotov_state,multi_event
tick_throw,INTEGER,,,,,,,molotov_state,multi_event
player_x_pos,DECIMAL,,True,,Merged from another channel. Null where no source row matches.,,,molotov_state,multi_event
player_y_pos,DECIMAL,,True,,Merged from another channel. Null where no source row matches.,,,molotov_state,multi_event
player_z_pos,DECIMAL,,True,,Merged from another channel. Null where no source row matches.,,,molotov_state,multi_event
player_x_vel,DECIMAL,,True,,Merged from another channel. Null where no source row matches.,,,molotov_state,multi_event
player_y_vel,DECIMAL,,True,,Merged from another channel. Null where no source row matches.,,,molotov_state,multi_event
player_z_vel,DECIMAL,,True,,Merged from another channel. Null where no source row matches.,,,molotov_state,multi_event
player_phi_ang,DECIMAL,,True,,Merged from another channel. Null where no source row matches.,,,molotov_state,multi_event
player_theta_ang,DECIMAL,,True,,Merged from another channel. Null where no source row matches.,,,molotov_state,multi_event
player_weapon_code,INTEGER,,True,,Merged from another channel. Null where no source row matches.,,,molotov_state,multi_event
player_team_code,INTEGER,,True,,Merged from another channel. Null where no source row matches.,,,molotov_state,multi_event
burn_duration,DECIMAL,,,,,,,molotov_state,multi_event
was_extinguished_by_smoke,INTEGER,,,,,,,molotov_state,multi_event
extinguisher_id,INTEGER,,,,,,,molotov_state,multi_event
extinguisher_id_fixed,INTEGER,,,,,,,molotov_state,multi_event
smoke_entity_id,INTEGER,,,,,,,molotov_state,multi_event
smoke_entity_id_fixed,INTEGER,,,,,,,molotov_state,multi_event
was_extinguished_by_thrown_smoke,DECIMAL,,,,,,,molotov_state,multi_event
fraction_extinguished,DECIMAL,,,,,,,molotov_state,multi_event
was_thrown_into_smoke,INTEGER,,,,,,,molotov_state,multi_event
round,INTEGER,,False,,,,,other_death,single_event
tick,INTEGER,,False,,,,,other_death,single_event
other_type,VARCHAR,,False,,,,,other_death,single_event
attacker_id,INTEGER,,True,,,,,other_death,single_event
weapon_name,VARCHAR,,False,,,,,other_death,single_event
is_headshot,BOOLEAN,,False,,,,,other_death,single_event
penetration_amount,INTEGER,,False,,,,,other_death,single_event
is_through_smoke,BOOLEAN,,True,,,,,other_death,single_event
is_attacker_blind,BOOLEAN,,True,,,,,other_death,single_event
is_noscope,BOOLEAN,,True,,,,,other_death,single_event
second,DECIMAL,,,,,,,other_death,single_event
attacker_id_fixed,INTEGER,,True,Calculated from steam_id and player_id in player_personal. Merging done on round and player_id,Merged from another channel. Null where no source row matches.,,,other_death,single_event
attacker_x_pos,DECIMAL,,True,,Merged from another channel. Null where no source row matches.,,,other_death,single_event
attacker_y_pos,DECIMAL,,True,,Merged from another channel. Null where no source row matches.,,,other_death,single_event
attacker_z_pos,DECIMAL,,True,,Merged from another channel. Null where no source row matches.,,,other_death,single_event
attacker_x_vel,DECIMAL,,True,,Merged from another channel. Null where no source row matches.,,,other_death,single_event
attacker_y_vel,DECIMAL,,True,,Merged from another channel. Null where no source row matches.,,,other_death,single_event
attacker_z_vel,DECIMAL,,True,,Merged from another channel. Null where no source row matches.,,,other_death,single_event
attacker_phi_ang,DECIMAL,,True,,Merged from another channel. Null where no source row matches.,,,other_death,single_event
attacker_theta_ang,DECIMAL,,True,,Merged from another channel. Null where no source row matches.,,,other_death,single_event
attacker_weapon_code,INTEGER,,True,,Merged from another channel. Null where no source row matches.,,,other_death,single_event
attacker_team_code,INTEGER,,True,,Merged from another channel. Null where no source row matches.,,,other_death,single_event
round,INTEGER,,False,,,,,player_blind,single_event
tick,INTEGER,,False,,,,,player_blind,single_event
player_id,INTEGER,,False,,,,,player_blind,single_event
entity_id,INTEGER,,False,,,,,player_blind,single_event
attacker_id,INTEGER,,False,,,,,player_blind,single_event
blind_duration,DECIMAL,,False,,,,,player_blind,single_event
second,DECIMAL,,,,,,,player_blind,single_event
player_id_fixed,DECIMAL,,True,Calculated from steam_id and player_id in player_personal. Merging done on round and player_id,Merged from another channel. Null where no source row matches.,,,player_blind,single_event
attacker_id_fixed,INTEGER,,True,Calculated from steam_id and player_id in player_personal. Merging done on round and player_id,Merged from another channel. Null where no source row matches.,,,player_blind,single_event
player_x_pos,DECIMAL,,True,,Merged from another channel. Null where no source row matches.,,,player_blind,single_event
player_y_pos,DECIMAL,,True,,Merged from another channel. Null where no source row matches.,,,player_blind,single_event
player_z_pos,DECIMAL,,True,,Merged from another channel. Null where no source row matches.,,,player_blind,single_event
player_x_vel,DECIMAL,,True,,Merged from another channel. Null where no source row matches.,,,player_blind,single_event
player_y_vel,DECIMAL,,True,,Merged from another channel. Null where no source row matches.,,,player_blind,single_event
player_z_vel,DECIMAL,,True,,Merged from another channel. Null where no source row matches.,,,player_blind,single_event
player_phi_ang,DECIMAL,,True,,Merged from another channel. Null where no source row matches.,,,player_blind,single_event
player_theta_ang,DECIMAL,,True,,Merged from another channel. Null where no source row matches.,,,player_blind,single_event
player_weapon_code,INTEGER,,True,,Merged from another channel. Null where no source row matches.,,,player_blind,single_event
player_team_code,INTEGER,,True,,Merged from another channel. Null where no source row matches.,,,player_blind,single_event
attacker_x_pos,DECIMAL,,True,,Merged from another channel. Null where no source row matches.,,,player_blind,single_event
attacker_y_pos,DECIMAL,,True,,Merged from another channel. Null where no source row matches.,,,player_blind,single_event
attacker_z_pos,DECIMAL,,True,,Merged from another channel. Null where no source row matches.,,,player_blind,single_event
attacker_x_vel,DECIMAL,,True,,Merged from another channel. Null where no source row matches.,,,player_blind,single_event
attacker_y_vel,DECIMAL,,True,,Merged from another channel. Null where no source row matches.,,,player_blind,single_event
attacker_z_vel,DECIMAL,,True,,Merged from another channel. Null where no source row matches.,,,player_blind,single_event
attacker_phi_ang,DECIMAL,,True,,Merged from another channel. Null where no source row matches.,,,player_blind,single_event
attacker_theta_ang,DECIMAL,,True,,Merged from another channel. Null where no source row matches.,,,player_blind,single_event
attacker_weapon_code,INTEGER,,True,,Merged from another channel. Null where no source row matches.,,,player_blind,single_event
attacker_team_code,INTEGER,,True,,Merged from another channel. Null where no source row matches.,,,player_blind,single_event
round,INTEGER,,False,,,,,player_chat,single_event
tick,INTEGER,,False,,,,,player_chat,single_event
