FieldName,Type,MaxLength,Nullable,Description,Notes,Example,PrimaryKey,TableName,TableDescription
bot_id,DECIMAL,,True,,,,,bot_takeover,single_event
player_index,DECIMAL,,False,,,,,bot_takeover,single_event
second,DECIMAL,,True,,,,,bot_takeover,single_event
player_id_fixed,DECIMAL,,True,Calculated from steam_id and player_id in player_personal. Merging done on round and player_id,,,,bot_takeover,single_event
player_x_pos,DECIMAL,,True,,,,,bot_takeover,single_event
player_y_pos,DECIMAL,,True,,,,,bot_takeover,single_event
player_z_pos,DECIMAL,,True,,,,,bot_takeover,single_event
player_x_vel,DECIMAL,,True,,,,,bot_takeover,single_event
player_y_vel,DECIMAL,,True,,,,,bot_takeover,single_event
player_z_vel,DECIMAL,,True,,,,,bot_takeover,single_event
player_phi_ang,DECIMAL,,True,,,,,bot_takeover,single_event
player_theta_ang,DECIMAL,,True,,,,,bot_takeover,single_event
player_weapon_code,DECIMAL,,True,,,,,bot_takeover,single_event
player_team_code,DECIMAL,,True,,,,,bot_takeover,single_event
player_tick,DECIMAL,,True,,,,,bot_takeover,single_event
player_player_id,DECIMAL,,True,,,,,bot_takeover,single_event
round,DECIMAL,,False,,,,,grenade_state,multi_event
tick,DECIMAL,,False,,,,,grenade_state,multi_event
event_type,VARCHAR,,False,,,,,grenade_state,multi_event
entity_id,DECIMAL,,False,,,,,grenade_state,multi_event
player_id,DECIMAL,,False,,,,,grenade_state,multi_event
x_pos,DECIMAL,,False,,,,,grenade_state,multi_event
y_pos,DECIMAL,,False,,,,,grenade_state,multi_event
z_pos,DECIMAL,,False,,,,,grenade_state,multi_event
second,DECIMAL,,True,,,,,grenade_state,multi_event
player_id_fixed,DECIMAL,,True,Calculated from steam_id and player_id in player_personal. Merging done on round and player_id,,,,grenade_state,multi_event
entity_id_fixed,DECIMAL,,True,,,,,grenade_state,multi_event
tick_throw,DECIMAL,,True,,,,,grenade_state,multi_event
player_x_pos,DECIMAL,,True,,,,,grenade_state,multi_event
player_y_pos,DECIMAL,,True,,,,,grenade_state,multi_event
player_z_pos,DECIMAL,,True,,,,,grenade_state,multi_event
player_x_vel,DECIMAL,,True,,,,,grenade_state,multi_event
player_y_vel,DECIMAL,,True,,,,,grenade_state,multi_event
player_z_vel,DECIMAL,,True,,,,,grenade_state,multi_event
player_phi_ang,DECIMAL,,True,,,,,grenade_state,multi_event
player_theta_ang,DECIMAL,,True,,,,,grenade_state,multi_event
player_weapon_code,DECIMAL,,True,,,,,grenade_state,multi_event
player_team_code,DECIMAL,,True,,,,,grenade_state,multi_event
magic,VARCHAR,,False,,,,,header,header
network_protocol,DECIMAL,,False,,,,,header,header
server_name,VARCHAR,,False,,,,,header,header
client_name,VARCHAR,,False,,,,,header,header
map_name,VARCHAR,,False,,,,,header,header
game_directory,VARCHAR,,False,,,,,header,header
fullpackets_version,DECIMAL,,False,,,,,header,header
allow_clientside_entities,DECIMAL,,False,,,,,header,header
allow_clientside_particles,DECIMAL,,False,,,,,header,header
addons,VARCHAR,,False,,,,,header,header
demo_version_name,VARCHAR,,False,,,,,header,header
demo_version_guid,VARCHAR,,False,,,,,header,header
build_num,DECIMAL,,False,,,,,header,header
game,VARCHAR,,False,,,,,header,header
magic,VARCHAR,,True,,,,,header,header
protocol,DECIMAL,,True,,May be missing.,,,header,header
network_protocol,DECIMAL,,True,,,,,header,header
server_name,VARCHAR,,True,,,,,header,header
client_name,VARCHAR,,True,,,,,header,header
map_name,VARCHAR,,True,,,,,header,header
game_directory,VARCHAR,,True,,,,,header,header
playback_time,DECIMAL,,True,,May be missing.,,,header,header
playback_ticks,DECIMAL,,True,,May be missing.,,,header,header
playback_frames,DECIMAL,,True,,May be missing.,,,header,header
signon_length,DECIMAL,,True,,May be missing.,,,header,header
tick_rate,DECIMAL,,True,,,,,header,header
tick_save_rate,DECIMAL,,True,,,,,header,header
rushb_version,VARCHAR,,True,,,,,header,header
ppp_version,VARCHAR,,True,,,,,header,header
match_date,VARCHAR,,True,,,,,header,header
demo_id,VARCHAR,,True,,,,,header,header
sharecode,VARCHAR,,True,,,,,header,header
platform,VARCHAR,,True,,,,,header,header
match_type,VARCHAR,,True,,,,,header,header
game,VARCHAR,,True,,,,,header,header
second,DECIMAL,,True,,May be missing.,,,header,header
t_starters_avg_rank,DECIMAL,,True,,,,,header,header
t_starters_avg_wins,DECIMAL,,True,,,,,header,header
ct_starters_avg_rank,DECIMAL,,True,,,,,header,header
ct_starters_avg_wins,DECIMAL,,True,,,,,header,header
ct_starters_score_final,DECIMAL,,True,,,,,header,header
t_starters_score_final,DECIMAL,,True,,,,,header,header
providence,VARCHAR,,True,,,,,header,header
number_of_points,DECIMAL,,True,,,,,header,header
round,DECIMAL,,False,,,,,item_equip,single_event
tick,DECIMAL,,False,,,,,item_equip,single_event
player_id,DECIMAL,,False,,,,,item_equip,single_event
item,VARCHAR,,False,,,,,item_equip,single_event
def_index,DECIMAL,,False,,,,,item_equip,single_event
can_zoom,DECIMAL,,False,,,,,item_equip,single_event
has_silencer,DECIMAL,,False,,,,,item_equip,single_event
is_silenced,DECIMAL,,False,,,,,item_equip,single_event
has_tracers,DECIMAL,,False,,,,,item_equip,single_event
weapon_type_code,DECIMAL,,False,,,,,item_equip,single_event
is_painted,DECIMAL,,False,,,,,item_equip,single_event
second,DECIMAL,,True,,,,,item_equip,single_event
player_id_fixed,DECIMAL,,True,Calculated from steam_id and player_id in player_personal. Merging done on round and player_id,,,,item_equip,single_event
player_x_pos,DECIMAL,,True,,,,,item_equip,single_event
player_y_pos,DECIMAL,,True,,,,,item_equip,single_event
player_z_pos,DECIMAL,,True,,,,,item_equip,single_event
player_x_vel,DECIMAL,,True,,,,,item_equip,single_event
player_y_vel,DECIMAL,,True,,,,,item_equip,single_event
player_z_vel,DECIMAL,,True,,,,,item_equip,single_event
player_phi_ang,DECIMAL,,True,,,,,item_equip,single_event
player_theta_ang,DECIMAL,,True,,,,,item_equip,single_event
player_weapon_code,DECIMAL,,True,,,,,item_equip,single_event
player_team_code,DECIMAL,,True,,,,,item_equip,single_event
player_tick,DECIMAL,,True,,May be missing.,,,item_equip,single_event
player_player_id,DECIMAL,,True,,May be missing.,,,item_equip,single_event
round,DECIMAL,,False,,,,,item_pickup,single_event
tick,DECIMAL,,False,,,,,item_pickup,single_event
player_id,DECIMAL,,False,,,,,item_pickup,single_event
item,VARCHAR,,False,,,,,item_pickup,single_event
def_index,DECIMAL,,False,,,,,item_pickup,single_event
is_silent,DECIMAL,,False,,,,,item_pickup,single_event
second,DECIMAL,,True,,,,,item_pickup,single_event
player_id_fixed,DECIMAL,,True,Calculated from steam_id and player_id in player_personal. Merging done on round and player_id,,,,item_pickup,single_event
player_x_pos,DECIMAL,,True,,,,,item_pickup,single_event
player_y_pos,DECIMAL,,True,,,,,item_pickup,single_event
player_z_pos,DECIMAL,,True,,,,,item_pickup,single_event
player_x_vel,DECIMAL,,True,,,,,item_pickup,single_event
player_y_vel,DECIMAL,,True,,,,,item_pickup,single_event
player_z_vel,DECIMAL,,True,,,,,item_pickup,single_event
player_phi_ang,DECIMAL,,True,,,,,item_pickup,single_event
player_theta_ang,DECIMAL,,True,,,,,item_pickup,single_event
player_weapon_code,DECIMAL,,True,,,,,item_pickup,single_event
player_team_code,DECIMAL,,True,,,,,item_pickup,single_event
player_tick,DECIMAL,,True,,May be missing.,,,item_pickup,single_event
player_player_id,DECIMAL,,True,,May be missing.,,,item_pickup,single_event
round,DECIMAL,,False,,,,,molotov_state,multi_event
tick,DECIMAL,,False,,,,,molotov_state,multi_event
event_type,VARCHAR,,False,,,,,molotov_state,multi_event
entity_id,DECIMAL,,False,,,,,molotov_state,multi_event
x_pos,DECIMAL,,False,,,,,molotov_state,multi_event
y_pos,DECIMAL,,False,,,,,molotov_state,multi_event
z_pos,DECIMAL,,False,,,,,molotov_state,multi_event
second,DECIMAL,,True,,,,,molotov_state,multi_event
entity_id_fixed,DECIMAL,,True,,,,,molotov_state,multi_event
burn_duration,DECIMAL,,True,,,,,molotov_state,multi_event
was_extinguished_by_smoke,DECIMAL,,True,,,,,molotov_state,multi_event
extinguisher_id,DECIMAL,,True,,,,,molotov_state,multi_event
extinguisher_id_fixed,DECIMAL,,True,,,,,molotov_state,multi_event
smoke_entity_id,DECIMAL,,True,,,,,molotov_state,multi_event
was_extinguished_by_thrown_smoke,DECIMAL,,True,,May be missing.,,,molotov_state,multi_event
player_id,DECIMAL,,True,,,,,molotov_state,multi_event
player_id_fixed,DECIMAL,,True,,,,,molotov_state,multi_event
tick_throw,DECIMAL,,True,,,,,molotov_state,multi_event
player_x_pos,DECIMAL,,True,,,,,molotov_state,multi_event
player_y_pos,DECIMAL,,True,,,,,molotov_state,multi_event
player_z_pos,DECIMAL,,True,,,,,molotov_state,multi_event
player_x_vel,DECIMAL,,True,,,,,molotov_state,multi_event
player_y_vel,DECIMAL,,True,,,,,molotov_state,multi_event
player_z_vel,DECIMAL,,True,,,,,molotov_state,multi_event
player_phi_ang,DECIMAL,,True,,,,,molotov_state,multi_event
player_theta_ang,DECIMAL,,True,,,,,molotov_state,multi_event
player_weapon_code,DECIMAL,,True,,,,,molotov_state,multi_event
player_team_code,DECIMAL,,True,,,,,molotov_state,multi_event
round,DECIMAL,,False,,,,,other_death,single_event
tick,DECIMAL,,False,,,,,other_death,single_event
other_type,VARCHAR,,False,,,,,other_death,single_event
attacker_id,DECIMAL,,True,,,,,other_death,single_event
weapon_name,VARCHAR,,False,,,,,other_death,single_event
is_headshot,DECIMAL,,False,,,,,other_death,single_event
penetration_amount,DECIMAL,,False,,,,,other_death,single_event
is_through_smoke,DECIMAL,,True,,,,,other_death,single_event
is_attacker_blind,DECIMAL,,True,,,,,other_death,single_event
is_noscope,DECIMAL,,True,,,,,other_death,single_event
second,DECIMAL,,True,,,,,other_death,single_event
attacker_id_fixed,DECIMAL,,True,Calculated from steam_id and player_id in player_personal. Merging done on round and player_id,,,,other_death,single_event
attacker_x_pos,DECIMAL,,True,,,,,other_death,single_event
attacker_y_pos,DECIMAL,,True,,,,,other_death,single_event
attacker_z_pos,DECIMAL,,True,,,,,other_death,single_event
attacker_x_vel,DECIMAL,,True,,,,,other_death,single_event
attacker_y_vel,DECIMAL,,True,,,,,other_death,single_event
attacker_z_vel,DECIMAL,,True,,,,,other_death,single_event
attacker_phi_ang,DECIMAL,,True,,,,,other_death,single_event
attacker_theta_ang,DECIMAL,,True,,,,,other_death,single_event
attacker_weapon_code,DECIMAL,,True,,,,,other_death,single_event
attacker_team_code,DECIMAL,,True,,,,,other_death,single_event
attacker_tick,DECIMAL,,True,,May be missing.,,,other_death,single_event
attacker_player_id,DECIMAL,,True,,May be missing.,,,other_death,single_event
round,DECIMAL,,False,,,,,player_action,multi_event
tick,DECIMAL,,False,,,,,player_action,multi_event
event_type,VARCHAR,,False,,,,,player_action,multi_event
player_id,DECIMAL,,False,,,,,player_action,multi_event
second,DECIMAL,,True,,,,,player_action,multi_event
player_id_fixed,DECIMAL,,True,Calculated from steam_id and player_id in player_personal. Merging done on round and player_id,,,,player_action,multi_event
player_x_pos,DECIMAL,,True,,,,,player_action,multi_event
player_y_pos,DECIMAL,,True,,,,,player_action,multi_event
player_z_pos,DECIMAL,,True,,,,,player_action,multi_event
player_x_vel,DECIMAL,,True,,,,,player_action,multi_event
player_y_vel,DECIMAL,,True,,,,,player_action,multi_event
player_z_vel,DECIMAL,,True,,,,,player_action,multi_event
player_phi_ang,DECIMAL,,True,,,,,player_action,multi_event
player_theta_ang,DECIMAL,,True,,,,,player_action,multi_event
player_weapon_code,DECIMAL,,True,,,,,player_action,multi_event
player_team_code,DECIMAL,,True,,,,,player_action,multi_event
player_tick,DECIMAL,,True,,May be missing.,,,player_action,multi_event
player_player_id,DECIMAL,,True,,May be missing.,,,player_action,multi_event
round,DECIMAL,,False,,,,,player_blind,single_event
tick,DECIMAL,,False,,,,,player_blind,single_event
player_id,DECIMAL,,False,,,,,player_blind,single_event
entity_id,DECIMAL,,False,,,,,player_blind,single_event
attacker_id,DECIMAL,,False,,,,,player_blind,single_event
blind_duration,DECIMAL,,False,,,,,player_blind,single_event
second,DECIMAL,,True,,,,,player_blind,single_event
player_id_fixed,DECIMAL,,True,Calculated from steam_id and player_id in player_personal. Merging done on round and player_id,,,,player_blind,single_event
attacker_id_fixed,DECIMAL,,True,Calculated from steam_id and player_id in player_personal. Merging done on round and player_id,,,,player_blind,single_event
player_x_pos,DECIMAL,,True,,,,,player_blind,single_event
player_y_pos,DECIMAL,,True,,,,,player_blind,single_event
player_z_pos,DECIMAL,,True,,,,,player_blind,single_event
player_x_vel,DECIMAL,,True,,,,,player_blind,single_event
player_y_vel,DECIMAL,,True,,,,,player_blind,single_event
player_z_vel,DECIMAL,,True,,,,,player_blind,single_event
player_phi_ang,DECIMAL,,True,,,,,player_blind,single_event
player_theta_ang,DECIMAL,,True,,,,,player_blind,single_event
player_weapon_code,DECIMAL,,True,,,,,player_blind,single_event
player_team_code,DECIMAL,,True,,,,,player_blind,single_event
player_tick,DECIMAL,,True,,May be missing.,,,player_blind,single_event
player_player_id,DECIMAL,,True,,May be missing.,,,player_blind,single_event
attacker_x_pos,DECIMAL,,True,,,,,player_blind,single_event
attacker_y_pos,DECIMAL,,True,,,,,player_blind,single_event
attacker_z_pos,DECIMAL,,True,,,,,player_blind,single_event
attacker_x_vel,DECIMAL,,True,,,,,player_blind,single_event
attacker_y_vel,DECIMAL,,True,,,,,player_blind,single_event
attacker_z_vel,DECIMAL,,True,,,,,player_blind,single_event
attacker_phi_ang,DECIMAL,,True,,,,,player_blind,single_event
attacker_theta_ang,DECIMAL,,True,,,,,player_blind,single_event
attacker_weapon_code,DECIMAL,,True,,,,,player_blind,single_event
attacker_team_code,DECIMAL,,True,,,,,player_blind,single_event
attacker_tick,DECIMAL,,True,,May be missing.,,,player_blind,single_event
attacker_player_id,DECIMAL,,True,,May be missing.,,,player_blind,single_event
round,DECIMAL,,False,,,,,player_death,single_event
tick,DECIMAL,,False,,,,,player_death,single_event
player_id,DECIMAL,,False,,,,,player_death,single_event
attacker_id,DECIMAL,,True,,,,,player_death,single_event
assister_id,DECIMAL,,True,,,,,player_death,single_event
weapon_name,VARCHAR,,False,,,,,player_death,single_event
is_headshot,DECIMAL,,False,,,,,player_death,single_event
penetration_amount,DECIMAL,,False,,,,,player_death,single_event
has_replay,DECIMAL,,False,,,,,player_death,single_event
is_flash_assist,DECIMAL,,True,,,,,player_death,single_event
is_through_smoke,DECIMAL,,True,,,,,player_death,single_event
is_attacker_blind,DECIMAL,,True,,,,,player_death,single_event
is_noscope,DECIMAL,,True,,,,,player_death,single_event
second,DECIMAL,,True,,,,,player_death,single_event
player_id_fixed,DECIMAL,,True,Calculated from steam_id and player_id in player_personal. Merging done on round and player_id,,,,player_death,single_event
attacker_id_fixed,DECIMAL,,True,Calculated from steam_id and player_id in player_personal. Merging done on round and player_id,,,,player_death,single_event
assister_id_fixed,DECIMAL,,True,Calculated from steam_id and player_id in player_personal. Merging done on round and player_id,,,,player_death,single_event
player_x_pos,DECIMAL,,True,asof merge (nearby ticks),,,,player_death,single_event
player_y_pos,DECIMAL,,True,asof merge (nearby ticks),,,,player_death,single_event
player_z_pos,DECIMAL,,True,asof merge (nearby ticks),,,,player_death,single_event
player_x_vel,DECIMAL,,True,asof merge (nearby ticks),,,,player_death,single_event
player_y_vel,DECIMAL,,True,asof merge (nearby ticks),,,,player_death,single_event
player_z_vel,DECIMAL,,True,asof merge (nearby ticks),,,,player_death,single_event
player_phi_ang,DECIMAL,,True,asof merge (nearby ticks),,,,player_death,single_event
player_theta_ang,DECIMAL,,True,asof merge (nearby ticks),,,,player_death,single_event
player_weapon_code,DECIMAL,,True,asof merge (nearby ticks),,,,player_death,single_event
player_team_code,DECIMAL,,True,asof merge (nearby ticks),,,,player_death,single_event
player_tick,DECIMAL,,True,asof merge (nearby ticks),May be missing.,,,player_death,single_event
player_player_id,DECIMAL,,True,asof merge (nearby ticks),May be missing.,,,player_death,single_event
attacker_x_pos,DECIMAL,,True,asof merge (nearby ticks),,,,player_death,single_event
attacker_y_pos,DECIMAL,,True,asof merge (nearby ticks),,,,player_death,single_event
attacker_z_pos,DECIMAL,,True,asof merge (nearby ticks),,,,player_death,single_event
attacker_x_vel,DECIMAL,,True,asof merge (nearby ticks),,,,player_death,single_event
attacker_y_vel,DECIMAL,,True,asof merge (nearby ticks),,,,player_death,single_event
attacker_z_vel,DECIMAL,,True,asof merge (nearby ticks),,,,player_death,single_event
attacker_phi_ang,DECIMAL,,True,asof merge (nearby ticks),,,,player_death,single_event
attacker_theta_ang,DECIMAL,,True,asof merge (nearby ticks),,,,player_death,single_event
attacker_weapon_code,DECIMAL,,True,asof merge (nearby ticks),,,,player_death,single_event
attacker_team_code,DECIMAL,,True,asof merge (nearby ticks),,,,player_death,single_event
attacker_tick,DECIMAL,,True,asof merge (nearby ticks),May be missing.,,,player_death,single_event
attacker_player_id,DECIMAL,,True,asof merge (nearby ticks),May be missing.,,,player_death,single_event
assister_x_pos,DECIMAL,,True,asof merge (nearby ticks),,,,player_death,single_event
assister_y_pos,DECIMAL,,True,asof merge (nearby ticks),,,,player_death,single_event
assister_z_pos,DECIMAL,,True,asof merge (nearby ticks),,,,player_death,single_event
assister_x_vel,DECIMAL,,True,asof merge (nearby ticks),,,,player_death,single_event
assister_y_vel,DECIMAL,,True,asof merge (nearby ticks),,,,player_death,single_event
assister_z_vel,DECIMAL,,True,asof merge (nearby ticks),,,,player_death,single_event
assister_phi_ang,DECIMAL,,True,asof merge (nearby ticks),,,,player_death,single_event
assister_theta_ang,DECIMAL,,True,asof merge (nearby ticks),,,,player_death,single_event
assister_weapon_code,DECIMAL,,True,asof merge (nearby ticks),,,,player_death,single_event
assister_team_code,DECIMAL,,True,asof merge (nearby ticks),,,,player_death,single_event
assister_tick,DECIMAL,,True,asof merge (nearby ticks),May be missing.,,,player_death,single_event
assister_player_id,DECIMAL,,True,asof merge (nearby ticks),May be missing.,,,player_death,single_event
round,DECIMAL,,False,,,,,player_disconnect,single_event
tick,DECIMAL,,False,,,,,player_disconnect,single_event
player_id,DECIMAL,,False,,,,,player_disconnect,single_event
disconnect_reason,VARCHAR,,False,,,,,player_disconnect,single_event
is_bot,DECIMAL,,False,,,,,player_disconnect,single_event
second,DECIMAL,,True,,,,,player_disconnect,single_event
player_id_fixed,DECIMAL,,True,Calculated from steam_id and player_id in player_personal. Merging done on round and player_id,,,,player_disconnect,single_event
round,DECIMAL,,False,,,,,player_footstep,single_event
tick,DECIMAL,,False,,,,,player_footstep,single_event
player_id,DECIMAL,,False,,,,,player_footstep,single_event
second,DECIMAL,,True,,,,,player_footstep,single_event
player_id_fixed,DECIMAL,,True,Calculated from steam_id and player_id in player_personal. Merging done on round and player_id,,,,player_footstep,single_event
round,DECIMAL,,False,,,,,player_hurt,single_event
tick,DECIMAL,,False,,,,,player_hurt,single_event
player_id,DECIMAL,,False,,,,,player_hurt,single_event
attacker_id,DECIMAL,,False,,,,,player_hurt,single_event
health,DECIMAL,,False,,,,,player_hurt,single_event
armor,DECIMAL,,False,,,,,player_hurt,single_event
weapon_name,VARCHAR,,True,,,,,player_hurt,single_event
health_removed,DECIMAL,,False,,,,,player_hurt,single_event
armor_removed,DECIMAL,,False,,,,,player_hurt,single_event
hit_box_code,DECIMAL,,False,,,,,player_hurt,single_event
second,DECIMAL,,True,,,,,player_hurt,single_event
player_id_fixed,DECIMAL,,True,Calculated from steam_id and player_id in player_personal. Merging done on round and player_id,,,,player_hurt,single_event
attacker_id_fixed,DECIMAL,,True,Calculated from steam_id and player_id in player_personal. Merging done on round and player_id,,,,player_hurt,single_event
player_x_pos,DECIMAL,,True,asof merge (nearby ticks),,,,player_hurt,single_event
player_y_pos,DECIMAL,,True,asof merge (nearby ticks),,,,player_hurt,single_event
player_z_pos,DECIMAL,,True,asof merge (nearby ticks),,,,player_hurt,single_event
player_x_vel,DECIMAL,,True,asof merge (nearby ticks),,,,player_hurt,single_event
player_y_vel,DECIMAL,,True,asof merge (nearby ticks),,,,player_hurt,single_event
player_z_vel,DECIMAL,,True,asof merge (nearby ticks),,,,player_hurt,single_event
player_phi_ang,DECIMAL,,True,asof merge (nearby ticks),,,,player_hurt,single_event
player_theta_ang,DECIMAL,,True,asof merge (nearby ticks),,,,player_hurt,single_event
player_weapon_code,DECIMAL,,True,asof merge (nearby ticks),,,,player_hurt,single_event
player_team_code,DECIMAL,,True,asof merge (nearby ticks),,,,player_hurt,single_event
player_tick,DECIMAL,,True,asof merge (nearby ticks),May be missing.,,,player_hurt,single_event
player_player_id,DECIMAL,,True,asof merge (nearby ticks),May be missing.,,,player_hurt,single_event
attacker_x_pos,DECIMAL,,True,asof merge (nearby ticks),,,,player_hurt,single_event
attacker_y_pos,DECIMAL,,True,asof merge (nearby ticks),,,,player_hurt,single_event
attacker_z_pos,DECIMAL,,True,asof merge (nearby ticks),,,,player_hurt,single_event
attacker_x_vel,DECIMAL,,True,asof merge (nearby ticks),,,,player_hurt,single_event
attacker_y_vel,DECIMAL,,True,asof merge (nearby ticks),,,,player_hurt,single_event
attacker_z_vel,DECIMAL,,True,asof merge (nearby ticks),,,,player_hurt,single_event
attacker_phi_ang,DECIMAL,,True,asof merge (nearby ticks),,,,player_hurt,single_event
attacker_theta_ang,DECIMAL,,True,asof merge (nearby ticks),,,,player_hurt,single_event
attacker_weapon_code,DECIMAL,,True,asof merge (nearby ticks),,,,player_hurt,single_event
attacker_team_code,DECIMAL,,True,asof merge (nearby ticks),,,,player_hurt,single_event
attacker_tick,DECIMAL,,True,asof merge (nearby ticks),May be missing.,,,player_hurt,single_event
attacker_player_id,DECIMAL,,True,asof merge (nearby ticks),May be missing.,,,player_hurt,single_event
effective_health_removed,DECIMAL,,True,,,,,player_hurt,single_event
round,DECIMAL,,False,,,,,player_info,player_info
tick,DECIMAL,,False,,May be missing.,,,player_info,player_info
player_id,DECIMAL,,False,,,,,player_info,player_info
team_code,DECIMAL,,False,,,,,player_info,player_info
wins,DECIMAL,,False, Capped to 2501.,,,,player_info,player_info
rank,DECIMAL,,False,,,,,player_info,player_info
radar_color_code,DECIMAL,,False,,,,,player_info,player_info
second,DECIMAL,,True,,May be missing.,,,player_info,player_info
player_id_fixed,DECIMAL,,True,Calculated from steam_id and player_id in player_personal. Merging done on round and player_id,,,,player_info,player_info
rank_raw,DECIMAL,,True,,,,,player_info,player_info
rank_platform,DECIMAL,,True,,,,,player_info,player_info
round,DECIMAL,,False,,,,,player_name,single_event
tick,DECIMAL,,False,,,,,player_name,single_event
player_id,DECIMAL,,False,,,,,player_name,single_event
name_new,DECIMAL,,False,,,,,player_name,single_event
name_old,DECIMAL,,False,,,,,player_name,single_event
second,DECIMAL,,True,,,,,player_name,single_event
player_id_fixed,DECIMAL,,True,Calculated from steam_id and player_id in player_personal. Merging done on round and player_id,,,,player_name,single_event
round,DECIMAL,,False,,,,,player_personal,player_info
tick,DECIMAL,,False,,May be missing.,,,player_personal,player_info
player_id,DECIMAL,,False,,,,,player_personal,player_info
player_controller_id,DECIMAL,,False,,,,,player_personal,player_info
player_id_pawn,DECIMAL,,False,,,,,player_personal,player_info
name,VARCHAR,,False,,,,,player_personal,player_info
